date,product,category,region,quantity,revenue,price,discount
2023-10-21,Binder,Office Supplies,South,12,60,5,0.00
2023-11-16,Paper Clips,Office Supplies,East,200,20,0.1,0.00
2023-12-11,Scissors,Office Supplies,West,15,45,3,0.00
2024-01-06,File Folders,Office Supplies,North,30,90,3,0.00
2024-02-01,Whiteboard,Office Supplies,South,5,100,20,0.00
2024-03-07,Markers,Office Supplies,East,20,60,3,0.00
2024-04-02,Tape Dispenser,Office Supplies,West,10,30,3,0.00
2024-05-09,Calculator,Electronics,North,8,120,15,0.00
2024-06-04,Desk Calendar,Office Supplies,South,12,48,4,0.00
2024-07-11,Printer Paper,Office Supplies,East,25,75,3,0.00
2024-08-06,Sticky Notes,Office Supplies,West,40,40,1,0.00
2024-09-01,Ruler,Office Supplies,North,15,15,1,0.00
2024-10-07,Envelopes,Office Supplies,South,60,60,1,0.00
2024-11-02,Notebooks,Office Supplies,East,35,70,2,0.00
2024-12-09,Pencils,Office Supplies,West,80,40,0.5,0.00
2023-11-30,Luxury Watch,Electronics,North,1,15000,15000,0.00
2024-03-15,Enterprise Server,Electronics,South,1,25000,25000,0.00
2024-06-20,Industrial Printer,Electronics,East,1,18000,18000,0.00
2023-08-10,Custom Sofa,Furniture,West,1,12000,12000,0.00
2024-09-05,Smart Home System,Electronics,North,1,22000,22000,0.00
2023-12-20,Broken Item,Electronics,South,1,-500,-500,0.00
2024-02-28,Returned Product,Appliances,East,1,-800,-800,0.00
2024-05-15,Defective Unit,Furniture,West,1,-1200,-1200,0.00
2024-08-22,Warranty Claim,Electronics,North,1,-1500,-1500,0.00
2023-10-05,Clearance Item,Home Goods,South,50,50,100,0.50
2024-01-18,Seasonal Sale,Electronics,East,10,4500,500,0.10
2024-04-12,Promotional Deal,Appliances,West,5,1600,400,0.20
2024-07-30,Bulk Discount,Furniture,North,20,2400,150,0.20
2024-10-15,Black Friday,Electronics,South,15,10200,800,0.15
